1200;0.0131;0.0101;0;2510
1200;0.0008;0.0000;0;2791
1200;0.0006;0.0000;0;2469
1200;0.0012;0.0000;0;2247
1200;0.0001;0.0000;0;2222
1300;0.0079;0.0048;0;3352
1300;0.0100;0.0074;0;3279
1300;0.0099;0.0071;85;3727
1300;0.0092;0.0068;87;3636
1300;0.0095;0.0063;86;3636
1300;0.0095;0.0063;86;3846
1300;0.0089;0.0065;86;3727
1300;0.0096;0.0063;86;3681
1400;0.0205;0.0191;146;5000
1400;0.0231;0.0202;163;5505
1400;0.0244;0.0220;172;4839
1400;0.0232;0.0219;179;5172
1400;0.0234;0.0213;180;4762
1400;0.0237;0.0209;180;4878
1400;0.0235;0.0208;179;4478
1400;0.0234;0.0206;178;4839
1400;0.0237;0.0203;178;5217
1400;0.0240;0.0200;180;4839
1500;0.0392;0.0324;259;8219
1500;0.0418;0.0357;268;9375
1500;0.0437;0.0377;274;9231
1500;0.0431;0.0379;277;8571
1500;0.0424;0.0379;278;8571
1500;0.0422;0.0380;277;8955
1500;0.0408;0.0384;275;8571
1500;0.0405;0.0385;274;8824
1500;0.0403;0.0383;274;8696
1500;0.0407;0.0376;274;8451
1500;0.0407;0.0369;273;8000
1500;0.0413;0.0360;272;8571
1500;0.0412;0.0352;271;8000
1500;0.0412;0.0353;272;8333
1500;0.0410;0.0355;272;8108
1500;0.0412;0.0353;273;8696
1500;0.0415;0.0353;272;8219
1600;0.0904;0.0826;419;10000
1600;0.0938;0.0857;433;9836
1600;0.0959;0.0871;441;9677
1600;0.0969;0.0883;441;10909
1600;0.0941;0.0903;439;8824
1600;0.0954;0.0905;438;9677
1600;0.0982;0.0886;435;9375
1600;0.1003;0.0873;433;9231
1600;0.0989;0.0882;433;9375
1600;0.0969;0.0891;433;8824
1600;0.0967;0.0886;433;9231
1600;0.0980;0.0872;434;8824
1600;0.0975;0.0878;433;9231
1600;0.0966;0.0882;433;8696
1600;0.0975;0.0881;432;9231
1600;0.0987;0.0883;430;10000
1700;0.1158;0.1047;522;10345
1700;0.1149;0.1076;526;10345
1700;0.1145;0.1090;531;12000
1700;0.1146;0.1098;539;9091
1700;0.1154;0.1128;543;7595
1700;0.1174;0.1144;539;10714
1700;0.1173;0.1113;534;9231
